id,region,height,weight,age,salary
1,A,157.5,51.75382442545708,47.0,15905.0
2,B,202.0,91.8,25.0,
3,C,169.09,62.18,,
4,A,166.61,59.95,77.0,5434.0
5,B,185.19,76.67035756216214,62.0,4242.0
6,A,187.13,78.42,55.0,13959.0
7,C,163.81,57.43,43.0,6533.0
8,A,183.8,75.42,48.0,19779.0
9,B,179.67,71.7,65.0,8608.0
10,C,186.08,77.47,65.0,12433.0
11,B,163.41,57.07,,6495.0
12,A,202.56,92.3,,
13,C,177.37,69.63235765762117,79.0,
14,B,175.99,68.39,,13130.0
15,C,199.11,89.2,,
16,A,165.68,59.114757494356724,46.0,13683.0
17,B,166.48,59.83,31.0,17673.0
18,C,191.62,82.46,,12447.0
19,A,172.83,65.55,23.0,13768.0
20,B,156.99,51.29,62.0,3054.0
21,C,200.22,90.2,41.0,
22,A,154.63,49.17,35.0,14559.0
23,B,157.87,52.08,67.0,7398.0
24,A,165.55,58.99777445047445,66.0,19890.0
25,C,181.78,73.6,63.0,11383.0
26,A,164.43,57.99,34.0,19899.0
27,B,158.28,52.451254274985786,51.0,
28,C,172.39,65.15,43.0,10362.0
29,B,162.12,55.91,,13362.0
30,A,183.73,75.36,58.0,8270.0
31,C,181.19,73.07057788421706,41.0,12616.0
32,B,167.28,60.55,64.0,18317.0
33,C,181.01,72.90856750704761,,13021.0
34,A,196.67,87.0,,
35,B,170.12,63.11,77.0,7398.0
36,C,180.47,72.42,78.0,9554.0
