Test Sample Index,True Species Code,Predicted Species Code,K,Accuracy
27,0,0,1,0.375
14,0,0,1,0.375
59,1,2,1,0.375
60,1,3,1,0.375
82,2,2,1,0.375
111,2,0,1,0.375
42,3,2,1,0.375
50,3,1,1,0.375
27,0,0,5,0.375
14,0,0,5,0.375
59,1,2,5,0.375
60,1,2,5,0.375
82,2,2,5,0.375
111,2,0,5,0.375
42,3,2,5,0.375
50,3,2,5,0.375
27,0,0,15,0.375
14,0,0,15,0.375
59,1,3,15,0.375
60,1,2,15,0.375
82,2,2,15,0.375
111,2,0,15,0.375
42,3,2,15,0.375
50,3,2,15,0.375
27,0,2,100,0.25
14,0,2,100,0.25
59,1,2,100,0.25
60,1,2,100,0.25
82,2,2,100,0.25
111,2,2,100,0.25
42,3,2,100,0.25
50,3,2,100,0.25
