Red1,Red2,Red3,Red4,Red5,Red6,Blue
1,2,6,9,12,17,14
4,9,18,20,27,33,10
8,10,14,23,24,28,5
1,3,5,16,19,24,12
3,7,10,11,14,23,15
3,7,9,24,30,31,5
12,16,17,20,23,32,9
6,9,15,17,21,33,7
1,4,8,11,18,29,16
3,10,12,14,15,16,1
9,19,23,24,28,30,15
11,19,29,30,31,32,12
5,7,12,16,26,32,16
4,10,11,13,26,29,5
1,9,17,24,27,29,6
1,10,19,22,24,33,4
9,11,17,21,26,31,9
5,6,7,14,21,25,14
9,15,18,28,29,32,16
1,4,6,7,11,17,16
14,15,19,22,27,32,13
2,7,12,13,19,25,6
2,4,10,11,19,31,5
8,9,11,23,30,31,4
7,9,12,13,16,30,1
13,15,17,21,24,32,7
2,7,13,15,19,25,11
4,7,9,12,28,32,1
17,22,23,27,32,33,6
1,7,10,14,18,28,9
3,4,9,15,16,33,5
7,13,24,25,32,33,2
7,20,22,29,30,33,9
6,9,18,21,22,24,1
2,4,6,10,22,33,15
4,6,12,14,30,31,7
3,8,9,11,21,23,6
1,14,15,17,20,31,10
1,3,5,16,22,32,6
7,16,20,24,29,33,14
1,4,7,18,26,30,11
6,22,24,25,28,29,10
2,3,13,17,30,31,7
6,9,14,25,28,29,10
5,7,13,20,27,28,14
3,8,13,22,26,28,16
10,16,23,26,28,33,12
7,15,17,21,24,29,5
5,10,14,18,22,26,15
8,9,11,12,21,26,2
2,8,14,16,20,22,16
13,16,17,20,26,29,5
1,3,7,14,15,22,15
4,14,22,29,31,33,15
5,7,8,18,20,26,5
2,5,11,15,16,17,16
9,13,15,24,28,29,12
3,6,14,18,20,22,6
8,9,14,25,29,32,15
10,14,20,21,23,30,8
1,4,18,20,23,26,14
4,12,18,21,23,28,9
8,9,13,20,24,25,8
1,6,10,25,28,32,11
5,8,17,21,23,25,13
5,6,14,15,20,27,15
1,5,12,18,23,27,16
3,8,13,15,22,27,4
1,12,22,25,28,30,10
1,3,4,12,22,32,6
1,6,14,16,22,29,1
3,7,10,11,20,33,12
6,8,10,12,18,29,7
9,13,17,22,23,27,12
9,16,20,21,28,31,1
4,7,8,10,18,19,9
1,5,7,13,22,26,1
8,9,13,14,25,26,5
12,14,19,22,29,33,5
2,5,10,23,25,31,5
8,9,23,28,29,33,5
5,10,11,23,25,28,6
5,12,13,21,23,27,10
1,3,5,11,13,31,2
3,13,17,19,23,26,11
1,11,14,28,31,33,9
3,5,9,13,21,33,16
20,29,30,31,32,33,10
4,10,12,14,22,25,16
1,7,19,20,22,27,6
6,8,9,11,25,32,11
1,2,17,21,26,32,16
18,20,22,24,26,30,14
4,16,17,20,21,23,10
4,6,10,13,17,18,10
2,4,25,27,30,32,14
9,11,13,15,24,25,8
1,3,20,21,24,30,1
2,3,8,10,27,32,15
10,14,16,29,30,33,11
5,7,12,18,20,28,5
5,7,19,21,27,28,12
4,13,19,20,28,31,6
3,5,11,16,23,30,16
5,10,14,20,21,25,9
4,9,13,14,22,31,1
9,14,19,22,27,33,13
2,5,19,21,26,27,3
3,11,13,15,25,29,8
1,6,7,8,10,15,8
7,13,16,20,24,27,13
4,11,12,18,21,30,2
13,16,25,27,29,32,5
2,5,14,16,20,29,12
3,13,22,27,30,31,6
2,3,19,21,22,25,4
9,11,15,19,22,31,8
7,10,11,13,15,31,3
10,15,18,21,23,29,11
1,3,13,20,27,32,7
7,13,17,24,30,32,15
3,7,11,17,24,28,3
5,14,22,28,31,33,8
10,13,17,19,20,29,14
2,5,13,22,24,28,11
11,14,19,23,27,30,11
2,8,15,23,31,32,13
2,4,21,24,25,26,1
4,13,16,23,28,31,7
5,9,12,15,16,22,7
3,5,7,19,23,27,1
2,4,8,10,13,26,1
1,15,20,25,26,30,7
3,4,11,14,22,24,9
6,9,11,16,19,22,13
7,8,11,14,16,25,9
1,10,13,21,24,26,2
2,4,14,16,19,22,1
7,13,26,30,31,32,7
2,3,6,14,21,24,11
8,9,16,18,21,28,9
2,9,10,13,17,25,6
6,13,14,22,24,32,1
10,14,18,19,25,33,1
2,12,14,19,28,29,3
1,9,10,12,28,30,6
6,8,15,20,21,24,2
2,4,5,11,17,27,10
5,8,9,12,22,30,13
7,9,18,19,20,30,16
5,7,15,16,19,20,3
19,24,25,28,31,33,13
5,8,15,24,27,28,14
1,10,13,20,26,32,2
1,13,21,23,25,27,2
5,6,7,8,20,32,7
5,9,12,22,28,29,12
1,8,11,14,16,22,9
8,10,12,15,28,32,10
3,6,16,18,19,26,10
3,11,14,16,17,23,2
1,4,12,15,21,23,14
2,3,7,12,14,20,12
5,9,15,17,27,30,10
2,9,13,18,25,29,9
2,13,15,17,31,32,3
4,11,12,22,28,31,4
1,15,22,23,27,28,8
5,6,11,12,16,17,11
13,16,24,27,32,33,4
1,5,6,8,10,16,10
5,14,17,26,28,33,1
3,11,18,22,31,33,9
17,18,26,29,31,33,15
4,8,19,22,29,31,13
3,18,19,21,27,31,14
3,7,8,12,25,30,8
8,12,25,28,32,33,5
7,9,16,22,24,31,10
6,7,23,25,26,33,4
5,17,18,25,30,31,1
3,14,16,17,25,31,8
6,16,18,24,29,30,9
3,7,13,17,23,29,15
7,8,14,22,29,31,6
6,7,13,17,23,30,10
1,5,14,15,27,32,3
1,4,18,22,26,33,16
16,18,21,22,29,30,16
3,6,8,23,28,32,12
3,5,12,13,15,28,1
5,14,17,23,30,33,4
11,14,21,26,31,32,16
2,3,6,7,9,23,13
4,7,8,10,11,18,12
15,18,19,22,25,29,12
5,7,11,28,31,32,6
15,18,20,23,29,30,12
4,13,14,18,22,26,6
1,3,16,21,28,31,5
6,7,8,13,17,30,5
2,3,14,23,28,31,11
1,6,8,19,21,30,1
3,9,19,22,24,27,8
7,10,11,23,29,33,3
12,13,16,19,22,24,16
3,8,13,15,25,30,9
5,9,12,15,26,33,11
3,7,19,29,31,32,14
7,8,9,19,21,27,6
1,4,13,15,22,27,9
6,11,12,16,17,27,16
1,2,19,23,24,27,9
3,5,6,11,19,25,5
9,10,19,20,21,30,7
4,8,16,20,21,33,7
5,13,14,15,20,21,13
3,6,12,17,28,30,1
1,8,11,22,27,30,4
4,8,12,13,25,30,15
5,8,14,17,23,27,16
6,9,10,11,21,22,15
4,19,23,27,28,30,13
1,14,16,17,26,32,7
12,20,23,24,26,30,7
2,7,9,27,30,32,14
4,7,21,23,30,32,2
4,10,14,20,23,29,12
4,13,17,18,25,31,10
2,8,24,25,26,28,5
7,9,11,20,23,25,7
3,9,11,15,19,31,16
1,5,8,14,16,25,10
7,12,14,15,30,31,10
8,9,20,21,30,32,8
3,4,9,16,28,30,11
5,6,17,26,31,33,5
2,6,10,20,22,26,7
3,8,10,18,20,29,6
6,10,18,19,24,25,1
5,10,19,20,31,33,13
5,10,14,20,22,23,16
11,15,18,19,30,33,5
2,10,19,22,25,26,13
4,9,15,24,25,33,6
2,5,7,12,14,25,14
2,19,20,21,24,31,10
6,7,11,16,31,33,6
1,4,15,17,19,27,4
5,13,14,20,22,31,16
1,9,16,18,19,30,12
3,10,21,24,28,30,5
2,7,18,19,24,31,3
3,13,19,20,24,31,6
2,4,5,10,13,20,2
5,7,22,23,29,32,11
3,11,14,22,24,25,15
1,6,8,10,20,25,11
1,7,20,21,22,26,16
1,15,16,19,22,30,6
4,14,16,18,25,32,11
4,7,18,22,26,29,3
14,15,18,23,30,33,5
4,5,14,16,17,25,3
2,7,9,12,13,16,1
11,15,19,20,21,23,12
3,4,12,14,23,28,1
3,4,7,9,15,25,3
4,9,15,17,22,33,12
2,3,7,19,28,32,11
4,6,7,11,24,29,16
11,13,21,23,24,26,10
4,5,9,24,28,32,5
8,9,19,23,28,33,9
3,5,12,15,23,31,4
9,18,20,25,27,29,15
2,13,14,22,24,30,2
5,7,8,19,22,26,8
1,5,12,22,31,33,2
2,11,12,13,27,28,1
11,17,20,22,23,31,11
2,6,12,17,22,29,9
5,8,14,15,20,22,14
8,10,14,25,26,32,16
1,2,7,8,12,28,1
16,17,20,22,23,28,10
7,12,18,20,27,31,15
2,7,11,13,25,28,10
13,16,21,28,30,33,13
1,3,11,12,14,23,15
5,10,17,29,30,33,4
2,15,25,26,29,32,1
5,7,8,11,18,29,3
3,4,11,13,20,24,2
4,6,18,23,28,30,12
1,10,11,15,21,31,7
7,9,11,15,17,32,12
1,2,4,17,25,30,16
17,21,24,25,30,33,16
7,10,11,22,27,31,4
7,12,15,23,30,31,4
4,18,22,24,26,29,16
1,6,18,20,21,29,11
17,18,21,23,30,33,12
3,4,15,18,28,32,10
1,4,5,13,17,29,11
11,15,17,19,20,23,5
3,11,12,13,23,24,14
3,11,16,25,29,31,8
8,10,11,28,32,33,10
1,3,5,11,12,20,3
4,8,11,12,18,24,15
3,17,20,23,24,27,16
