Red1,Red2,Red3,Red4,Red5,Red6,Blue
1,7,10,14,18,28,9
7,8,10,12,24,30,9
2,3,14,16,29,33,13
4,5,10,14,28,32,3
2,4,6,19,20,28,14
1,23,25,26,29,31,4
2,13,15,17,31,32,3
2,12,17,24,25,32,6
1,6,7,8,23,31,5
5,9,10,17,23,25,4
5,6,14,15,20,27,15
2,9,10,13,17,25,6
20,21,23,24,25,26,16
6,7,11,14,16,18,12
10,19,22,24,30,33,1
7,8,10,13,14,28,3
5,7,14,26,28,33,1
5,13,14,20,22,31,16
9,18,24,27,30,31,7
2,11,15,16,22,30,8
1,4,5,13,17,29,11
14,16,19,20,22,31,9
7,14,21,25,26,27,11
8,9,11,12,21,26,2
1,6,13,15,24,31,15
8,10,14,23,24,28,5
2,4,12,13,14,23,15
6,11,16,19,29,31,3
9,16,23,24,25,27,16
1,5,10,13,31,32,9
5,15,16,19,23,29,1
14,17,18,20,32,33,7
1,3,5,9,11,17,14
1,3,11,16,19,30,11
6,9,18,21,22,24,1
7,13,24,25,32,33,2
3,9,11,15,19,31,16
10,18,22,23,27,30,4
11,14,21,26,31,32,16
8,12,20,23,25,29,9
1,3,5,16,19,24,12
7,10,11,23,29,33,3
6,9,12,21,30,31,1
4,5,9,18,19,25,7
11,15,17,19,20,23,5
1,6,7,8,10,15,8
7,10,11,24,25,31,1
8,9,13,14,25,26,5
3,13,17,19,23,26,11
7,12,18,20,27,31,15
5,12,13,21,23,27,10
2,3,7,13,14,17,5
7,14,18,19,26,32,9
1,2,5,12,14,25,9
5,16,18,22,27,32,15
4,5,11,17,20,21,4
7,10,11,14,20,25,10
3,4,6,10,12,18,16
1,3,15,26,28,32,14
3,7,9,24,30,31,5
5,11,14,16,19,21,11
8,17,20,23,25,27,15
1,3,20,21,24,30,1
3,4,12,14,23,28,1
1,8,10,23,24,29,10
13,14,17,20,21,25,11
5,9,10,12,23,29,6
3,4,10,13,26,31,11
9,12,15,26,29,30,4
1,2,7,22,30,31,8
6,8,14,15,28,30,3
10,15,18,21,23,29,11
1,6,13,15,17,22,3
1,9,16,18,19,30,12
4,6,7,8,20,28,1
3,10,12,14,15,16,1
5,7,11,28,31,32,6
3,4,5,20,25,27,14
5,10,11,23,25,28,6
1,2,3,12,21,24,6
7,9,16,18,27,31,9
5,9,13,16,23,26,13
6,10,18,19,24,25,1
5,10,17,29,30,33,4
6,11,12,16,17,27,16
11,14,16,18,20,22,5
7,9,15,17,19,24,1
5,9,11,17,20,30,15
4,10,14,20,23,29,12
4,8,16,22,28,29,9
9,11,18,23,28,30,9
4,7,10,11,20,27,16
4,6,8,22,31,32,16
2,4,8,12,29,32,5
4,6,12,18,29,33,14
5,6,7,29,30,31,3
1,10,24,25,29,33,8
3,5,6,16,18,22,15
6,9,15,17,21,33,7
5,6,7,8,20,32,7
1,3,4,7,17,27,5
2,3,10,24,25,28,9
3,9,11,13,27,33,3
2,9,12,15,17,21,14
5,15,16,21,23,33,5
2,4,13,17,25,30,7
1,8,19,23,25,28,14
11,12,15,16,29,33,8
5,11,13,14,30,32,10
3,5,10,23,25,31,1
3,6,17,22,24,25,3
2,5,14,15,22,29,13
6,7,12,17,21,27,8
12,14,15,22,27,32,9
2,5,8,18,19,20,16
2,14,24,25,28,32,9
4,13,17,18,25,31,10
9,23,24,26,28,31,1
5,16,18,19,20,25,15
1,2,19,23,24,27,9
2,5,10,23,25,31,5
5,8,9,12,22,30,13
1,6,18,20,21,29,11
