Title,Link,Rating,Title_Length,Cluster
"因果报应
                        /天道轮回 / 谁偷了垃圾桶？(台)",https://movie.douban.com/subject/36934908/,8.6,47,2
"狗阵
                        /狗镇 / 斗狗",https://movie.douban.com/subject/35242872/,7.0,35,1
"长腿
                        /长腿怪 / 长脚怪",https://movie.douban.com/subject/36149380/,5.5,37,1
"红毯先生
                        /全民明星 / The Movie Emperor",https://movie.douban.com/subject/35494829/,6.5,54,0
"逃脱
                        /逃走 / 绝地逃生(台)",https://movie.douban.com/subject/35712796/,6.3,40,1
"陷阱
                        /圈套(港/台) / Good Grades",https://movie.douban.com/subject/36114521/,5.8,49,0
"善良的种类
                        /怜悯的种类(港/台) / 善种",https://movie.douban.com/subject/36108875/,6.1,46,0
"传说
                        /神话2 / A Legend",https://movie.douban.com/subject/36207284/,5.0,42,1
"帅哥们
                        /Handsome Guys / 找死凶宅(台)",https://movie.douban.com/subject/35193100/,6.6,52,0
"打黑
                        /Black Storm",https://movie.douban.com/subject/36822550/,5.8,39,1
