Sales Time	Purchase Quantity (pcs)	Total Amount (CNY)	Payment Method	Refund Amount (CNY)	Product Details
2018-04-02 19:00	1	3.0	微信	0	雪碧
2018-04-11 18:00	2	6.0	支付宝	0	可口可乐
2018-04-29 15:00	4	12.0	支付宝	0	雪碧
2018-04-15 15:00	7	21.0	支付宝	0	雪碧
2018-04-23 13:00	2	5.0	支付宝	0	可口可乐
2018-04-13 08:00	2	6.0	微信	0	可口可乐
2018-04-20 06:00	5	12.5	微信	0	雪碧
2018-04-29 04:00	7	17.5	微信	0	可口可乐
2018-04-04 13:00	5	12.5	支付宝	0	可口可乐
2018-04-23 04:00	5	15.0	支付宝	0	可口可乐
2018-04-03 17:00	4	12.0	微信	0	雪碧
2018-04-04 09:00	8	24.0	支付宝	0	雪碧
2018-04-15 10:00	6	15.0	支付宝	0	可口可乐
2018-04-07 08:00	8	20.0	支付宝	0	雪碧
2018-04-26 14:00	2	5.0	支付宝	0	雪碧
2018-04-02 21:00	3	7.5	微信	0	雪碧
2018-04-16 13:00	3	7.5	微信	0	雪碧
2018-04-24 07:00	2	5.0	支付宝	0	可口可乐
2018-04-07 07:00	5	12.5	支付宝	0	雪碧
2018-04-25 15:00	7	21.0	微信	0	雪碧
2018-04-27 20:00	5	12.5	支付宝	0	可口可乐
2018-04-08 10:00	1	3.0	支付宝	0	可口可乐
2018-04-24 03:00	5	12.5	微信	0	雪碧
2018-04-16 06:00	9	22.5	微信	0	可口可乐
2018-04-16 01:00	10	25.0	微信	0	可口可乐
2018-04-25 16:00	3	7.5	支付宝	0	可口可乐
2018-04-12 00:00	3	9.0	微信	0	雪碧
2018-04-20 16:00	7	21.0	支付宝	0	雪碧
2018-04-11 01:00	2	6.0	支付宝	0	可口可乐
2018-04-22 15:00	9	27.0	支付宝	0	雪碧
2018-04-18 06:00	2	6.0	微信	0	可口可乐
2018-04-11 17:00	4	12.0	微信	0	可口可乐
2018-04-13 16:00	4	12.0	支付宝	0	可口可乐
2018-04-21 20:00	1	2.5	微信	0	雪碧
2018-04-01 08:00	1	3.0	支付宝	0	雪碧
2018-04-09 07:00	3	7.5	微信	0	雪碧
2018-04-20 17:00	6	15.0	微信	0	雪碧
2018-04-27 05:00	6	18.0	微信	0	可口可乐
2018-04-22 03:00	7	17.5	支付宝	0	可口可乐
2018-04-28 04:00	5	15.0	微信	0	雪碧
2018-04-06 00:00	2	5.0	支付宝	0	可口可乐
2018-04-16 03:00	2	6.0	微信	0	雪碧
2018-04-12 21:00	9	27.0	支付宝	0	可口可乐
2018-04-08 03:00	7	21.0	支付宝	0	雪碧
2018-04-29 01:00	10	25.0	支付宝	0	雪碧
2018-04-22 21:00	7	21.0	支付宝	0	雪碧
2018-04-03 20:00	6	18.0	支付宝	0	可口可乐
2018-04-17 04:00	4	12.0	支付宝	0	雪碧
2018-04-18 07:00	6	15.0	支付宝	0	可口可乐
2018-04-29 08:00	3	9.0	微信	0	雪碧
2018-04-09 18:00	2	6.0	微信	0	可口可乐
2018-04-18 01:00	3	7.5	微信	0	可口可乐
2018-04-22 05:00	4	10.0	微信	0	雪碧
2018-04-18 04:00	10	30.0	微信	0	雪碧
2018-04-20 04:00	2	6.0	微信	0	可口可乐
2018-04-18 00:00	2	6.0	支付宝	0	可口可乐
2018-04-02 17:00	8	20.0	微信	0	可口可乐
2018-04-02 10:00	8	20.0	支付宝	0	可口可乐
2018-04-20 11:00	1	3.0	支付宝	0	雪碧
2018-04-08 10:00	1	2.5	微信	0	可口可乐
2018-04-13 00:00	10	30.0	支付宝	0	雪碧
2018-04-01 23:00	9	27.0	支付宝	0	雪碧
2018-04-28 06:00	2	5.0	支付宝	0	可口可乐
2018-04-10 14:00	2	6.0	微信	0	可口可乐
2018-04-24 14:00	4	10.0	微信	0	可口可乐
2018-04-16 02:00	4	10.0	支付宝	0	可口可乐
2018-04-07 22:00	3	7.5	微信	0	雪碧
2018-04-26 18:00	7	21.0	微信	0	可口可乐
2018-04-27 13:00	2	5.0	支付宝	0	可口可乐
2018-04-10 16:00	8	20.0	微信	0	可口可乐
2018-04-10 08:00	6	18.0	支付宝	0	雪碧
2018-04-04 00:00	10	25.0	支付宝	0	雪碧
2018-04-11 22:00	1	3.0	微信	0	可口可乐
2018-04-04 04:00	6	15.0	支付宝	0	雪碧
2018-04-28 22:00	4	12.0	支付宝	0	雪碧
2018-04-25 23:00	2	6.0	支付宝	0	可口可乐
2018-04-06 18:00	8	20.0	微信	0	可口可乐
