Sales Time,Purchase Quantity (pcs),Total Amount (CNY),Payment Method,Refund Amount (CNY),Product Details
2018-04-01 01:00:00,2.0,5.0,支付宝,0.0,可口可乐
2018-04-01 01:00:00,4.0,12.0,支付宝,0.0,可口可乐
2018-04-01 01:00:00,3.0,7.5,微信,0.0,雪碧
2018-04-01 03:00:00,9.0,22.5,微信,0.0,可口可乐
2018-04-01 05:00:00,3.0,9.0,微信,0.0,雪碧
2018-04-01 07:00:00,2.0,5.0,微信,0.0,雪碧
2018-04-01 07:00:00,6.0,18.0,支付宝,0.0,可口可乐
2018-04-01 08:00:00,1.0,3.0,支付宝,0.0,雪碧
2018-04-01 08:00:00,9.0,27.0,微信,0.0,雪碧
2018-04-01 10:00:00,3.0,7.5,微信,0.0,雪碧
2018-04-01 11:00:00,1.0,2.5,微信,0.0,雪碧
2018-04-01 13:00:00,6.0,18.0,微信,0.0,可口可乐
2018-04-01 14:00:00,7.0,17.5,支付宝,0.0,可口可乐
2018-04-01 14:00:00,4.0,10.0,微信,0.0,可口可乐
2018-04-01 15:00:00,6.0,18.0,支付宝,0.0,可口可乐
2018-04-01 16:00:00,8.0,24.0,微信,0.0,雪碧
2018-04-01 17:00:00,5.0,12.5,微信,0.0,雪碧
2018-04-01 22:00:00,1.0,3.0,支付宝,0.0,可口可乐
2018-04-01 23:00:00,9.0,27.0,支付宝,0.0,雪碧
2018-04-02 05:00:00,2.0,6.0,微信,0.0,可口可乐
2018-04-02 05:00:00,9.0,22.5,微信,0.0,可口可乐
2018-04-02 07:00:00,3.0,9.0,微信,0.0,雪碧
2018-04-02 08:00:00,4.0,10.0,支付宝,0.0,可口可乐
2018-04-02 08:00:00,3.0,9.0,微信,0.0,雪碧
2018-04-02 08:00:00,4.0,10.0,微信,0.0,雪碧
2018-04-02 08:00:00,3.0,7.5,微信,0.0,雪碧
2018-04-02 10:00:00,8.0,20.0,支付宝,0.0,可口可乐
2018-04-02 12:00:00,3.0,7.5,支付宝,0.0,可口可乐
2018-04-02 13:00:00,9.0,27.0,微信,0.0,雪碧
2018-04-02 15:00:00,4.0,10.0,支付宝,0.0,雪碧
2018-04-02 15:00:00,8.0,24.0,支付宝,0.0,雪碧
2018-04-02 17:00:00,8.0,20.0,微信,0.0,可口可乐
2018-04-02 19:00:00,1.0,3.0,微信,0.0,雪碧
2018-04-02 20:00:00,7.0,21.0,支付宝,0.0,可口可乐
2018-04-02 21:00:00,3.0,7.5,微信,0.0,雪碧
2018-04-02 21:00:00,1.0,2.5,微信,0.0,可口可乐
2018-04-02 23:00:00,5.0,12.5,微信,0.0,雪碧
