Actual Prices,Predicted Prices
154500.0,141832.29
325000.0,332706.73
115000.0,117371.75
159000.0,155167.5
315500.0,318524.27
75500.0,85200.0
311500.0,208696.95
146000.0,149525.5
84500.0,85516.83
135500.0,131122.87
145000.0,155733.5
130000.0,120758.83
81000.0,113477.0
214000.0,206090.33
181000.0,178894.9
134500.0,131264.75
183500.0,193794.5
135000.0,136605.0
118400.0,115764.75
226000.0,204581.6
155000.0,157151.84
210000.0,221128.4
173500.0,175964.16
129000.0,123559.6
192000.0,193610.2
153900.0,175862.54
181134.0,183193.75
141000.0,107752.0
181000.0,177830.89
208900.0,193863.8
127000.0,122419.53
284000.0,249037.28
200500.0,175002.88
135750.0,112169.0
255000.0,252390.57
140000.0,145994.5
138000.0,136459.36
219500.0,205725.49
310000.0,312920.31
97000.0,107465.67
114500.0,122783.5
205000.0,233416.15
119500.0,120222.0
253293.0,361852.28
128500.0,135681.83
117500.0,152451.95
115000.0,115051.33
127000.0,128174.5
451950.0,387586.06
144000.0,145950.21
119000.0,122428.0
196000.0,194598.0
115000.0,127693.5
287000.0,341616.73
144500.0,139228.0
260000.0,233805.16
213000.0,196547.08
175000.0,149007.82
107000.0,143561.94
107500.0,114292.64
68500.0,76379.0
154000.0,150038.0
317000.0,306265.14
264132.0,279161.28
283463.0,282608.51
243000.0,211428.16
109000.0,112637.87
305000.0,311037.58
93500.0,114883.0
176000.0,161968.11
118858.0,129672.66
134000.0,130057.75
109008.0,113427.83
93500.0,91027.5
611657.0,454007.37
173000.0,174392.64
348000.0,313374.05
341000.0,296702.55
141000.0,138525.25
124900.0,123494.6
118000.0,101244.0
67000.0,103097.5
113000.0,127320.0
91300.0,103450.11
149500.0,156101.72
133000.0,131975.04
266000.0,252237.02
190000.0,194590.72
155900.0,139581.5
155835.0,177188.13
153500.0,141860.84
152000.0,160744.83
124500.0,122999.0
301000.0,256486.3
136500.0,121461.84
169990.0,178399.01
205000.0,172766.52
183900.0,161750.4
204900.0,220245.39
260000.0,238930.99
163500.0,175777.5
224900.0,209170.48
244000.0,278495.3
132000.0,140020.0
194000.0,185762.0
156500.0,165904.9
156000.0,144044.75
275000.0,279947.94
145000.0,143514.0
135000.0,187840.55
60000.0,61986.0
124000.0,129715.0
127000.0,132304.0
137500.0,133276.08
213500.0,219311.88
119000.0,115484.99
107900.0,112557.5
123000.0,111292.0
