,count,mean,std,min,25%,50%,75%,max
Sample Number,688.0,63.151162790697676,28.567653544127452,1.0,58.0,63.15116279069768,63.15116279069768,152.0
Culmen Length (mm),688.0,43.92192982456141,3.8464345815664713,32.1,43.9219298245614,43.9219298245614,44.175,59.6
Culmen Depth (mm),688.0,17.151169590643278,1.3912988769537356,13.1,17.151169590643278,17.151169590643278,17.3,21.5
Flipper Length (mm),688.0,200.91520467836253,9.906883859001212,172.0,197.0,200.91520467836256,200.91520467836256,231.0
Body Mass (g),688.0,4201.754385964912,565.0001576282722,2700.0,4050.0,4201.754385964912,4201.754385964912,6300.0
Delta 15 N (o/oo),688.0,8.7333816969697,0.38183693000348046,7.6322,8.687462499999999,8.7333816969697,8.7333816969697,10.02544
Delta 13 C (o/oo),688.0,-25.6862915407855,0.5502725982020583,-27.01854,-25.792845,-25.6862915407855,-25.6862915407855,-23.78767
culmen_length_mm,688.0,43.92192982456141,3.8464345815664713,32.1,43.9219298245614,43.9219298245614,44.175,59.6
culmen_depth_mm,688.0,17.151169590643278,1.3912988769537356,13.1,17.151169590643278,17.151169590643278,17.3,21.5
flipper_length_mm,688.0,200.91520467836253,9.906883859001212,172.0,197.0,200.91520467836256,200.91520467836256,231.0
body_mass_g,688.0,4201.754385964912,565.0001576282722,2700.0,4050.0,4201.754385964912,4201.754385964912,6300.0
