support,itemsets
0.7789666666666667,frozenset({'0'})
0.8569333333333333,frozenset({'1'})
0.9033,frozenset({'2'})
0.17123333333333332,frozenset({'3'})
0.6359,"frozenset({'0', '1'})"
0.7064,"frozenset({'2', '0'})"
0.12823333333333334,"frozenset({'3', '0'})"
0.7602333333333333,"frozenset({'2', '1'})"
0.13946666666666666,"frozenset({'3', '1'})"
0.13363333333333333,"frozenset({'3', '2'})"
0.5633333333333334,"frozenset({'2', '0', '1'})"
0.10143333333333333,"frozenset({'2', '3', '0'})"
0.10186666666666666,"frozenset({'3', '2', '1'})"
