TransactionID,ProductID,Quantity,SaleDate,StoreID,Revenue
1,7,12.0,2023-01-01,3,245.3584517474696
2,4,2.0,2023-01-02,4,340.2662372462616
3,8,1.0,2023-01-03,1,13.665592208707311
4,5,16.0,2023-01-04,4,1391.8632409758504
5,7,5.0,2023-01-05,5,366.64603672101066
6,10,3.0,2023-01-06,5,158.02693385357782
7,3,12.0,2023-01-07,1,225.6608935030816
8,7,8.0,2023-01-08,3,433.9634300841193
9,8,3.0,2023-01-09,2,157.83737811075272
10,5,1.0,2023-01-10,1,25.58816829190137
11,4,3.0,2023-01-11,2,147.13994529425273
12,8,5.0,2023-01-12,2,229.32713047881805
13,8,15.0,2023-01-13,3,981.3976323704924
14,3,14.0,2023-01-14,2,940.2180000932312
15,6,3.0,2023-01-15,2,42.23208263845202
16,5,1.0,2023-01-16,3,43.71513531638241
17,2,5.0,2023-01-17,2,331.6369620714064
18,8,14.0,2023-01-18,2,773.9516858109105
19,6,7.0,2023-01-19,2,609.588599948643
20,2,9.0,2023-01-20,1,623.5418416113455
21,5,15.0,2023-01-21,1,369.9614765599301
22,1,15.0,2023-01-22,1,245.26780899058028
23,10,10.0,2023-01-23,3,678.177350385684
24,6,13.0,2023-01-24,5,161.0182333336975
25,9,19.0,2023-01-25,2,1191.6762439776223
26,1,7.0,2023-01-26,2,662.3450520977233
27,10,0.5,2023-01-27,3,30.896338004414552
28,3,4.0,2023-01-28,2,179.7411734343479
29,7,5.0,2023-01-29,1,339.4796982990589
30,4,7.0,2023-01-30,5,358.6993210096555
31,9,13.0,2023-01-31,4,768.3716434996438
32,3,15.0,2023-02-01,2,1420.977491848309
33,5,11.0,2023-02-02,1,492.2416114227665
34,3,4.0,2023-02-03,4,386.02860297660914
35,7,13.0,2023-02-04,5,1189.2602510885945
36,5,7.0,2023-02-05,4,193.34841491725675
37,9,19.0,2023-02-06,1,308.60782449653294
38,7,2.0,2023-02-07,4,38.1400402479368
39,2,10.0,2023-02-08,3,116.39964308639476
40,4,13.0,2023-02-09,4,240.49826408443624
41,9,6.0,2023-02-10,2,428.8236576448327
42,2,12.0,2023-02-11,2,196.8837403370473
43,10,12.0,2023-02-12,3,464.49368071726224
44,9,11.0,2023-02-13,1,946.42655785976
45,10,7.0,2023-02-14,2,84.66131951357029
46,5,1.0,2023-02-15,5,83.30216343300422
47,2,1.0,2023-02-16,2,35.36692972960599
48,4,13.0,2023-02-17,2,268.25284831733785
49,7,9.0,2023-02-18,1,654.357103944962
50,8,3.0,2023-02-19,4,199.81456863056863
51,3,7.0,2023-02-20,2,622.8073685220434
52,1,6.0,2023-02-21,3,456.9383636540984
53,4,8.0,2023-02-22,4,658.506269877091
54,2,9.0,2023-02-23,5,318.44800378275824
55,8,5.0,2023-02-24,1,129.84779470087528
56,4,1.0,2023-02-25,5,77.55532764767725
57,2,19.0,2023-02-26,4,1569.6874041470214
58,6,10.0,2023-02-27,4,991.454627800606
59,6,12.0,2023-02-28,4,565.6270910643407
60,10,15.0,2023-03-01,5,340.2662372462616
61,4,9.0,2023-03-02,4,718.8944982010174
62,6,17.0,2023-03-03,5,340.2662372462616
63,2,17.0,2023-03-04,4,1594.058708173454
64,10,12.0,2023-03-05,3,1047.0857719904527
65,2,7.0,2023-03-06,4,340.2662372462616
66,10,2.0,2023-03-07,5,155.15679220246952
67,4,3.0,2023-03-08,2,233.72657600286425
68,8,17.0,2023-03-09,4,327.7795193189769
69,7,5.0,2023-03-10,2,456.148808005805
70,9,17.0,2023-03-11,3,943.0361298452216
71,8,17.0,2023-03-12,1,1434.4799231448446
72,5,17.0,2023-03-13,3,659.675889576836
73,2,2.0,2023-03-14,4,181.1941811293161
74,5,50.0,2023-03-15,2,2251.407554303734
75,8,5.0,2023-03-16,2,54.87694316613427
76,10,1.0,2023-03-17,5,91.48437787773372
77,9,1.0,2023-03-18,2,18.21580091075202
78,9,19.0,2023-03-19,5,736.0263202796095
79,1,2.0,2023-03-20,1,191.01115406914488
80,9,12.0,2023-03-21,4,1146.6557186925606
81,7,6.0,2023-03-22,5,369.6564595865745
82,9,4.0,2023-03-23,1,267.46139638112777
83,8,11.0,2023-03-24,2,553.9610667585366
84,1,17.0,2023-03-25,2,618.6124806980387
85,8,6.0,2023-03-26,1,237.4788544997546
86,8,5.0,2023-03-27,2,352.63330523466726
87,3,2.0,2023-03-28,1,155.4274152987824
88,1,6.0,2023-03-29,5,487.4526836119583
89,8,11.0,2023-03-30,5,891.7219613666083
90,3,16.0,2023-03-31,1,291.3367883901141
91,3,16.0,2023-04-01,5,871.9652387717173
92,1,1.0,2023-04-02,5,15.180288401497986
93,5,9.0,2023-04-03,5,340.2662372462616
94,10,6.0,2023-04-04,3,298.4264707416236
95,7,16.0,2023-04-05,4,1438.2940231719515
96,10,3.0,2023-04-06,2,124.74705338906124
97,9,4.0,2023-04-07,3,82.14412591393811
98,7,19.0,2023-04-08,5,434.5157763103493
99,9,3.0,2023-04-09,1,235.6078705637175
100,8,19.0,2023-04-10,5,340.2662372462616
