antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'High GDP'}),frozenset({'High Social Support'}),0.4887459807073955,0.4983922829581994,0.3890675241157556,0.7960526315789473,1.5972410865874362,0.14548029900435272,2.459495902914635,0.7313789698009252
frozenset({'High Social Support'}),frozenset({'High GDP'}),0.4983922829581994,0.4887459807073955,0.3890675241157556,0.7806451612903226,1.5972410865874362,0.14548029900435272,2.3307168526574618,0.7454439499894046
frozenset({'High GDP'}),frozenset({'High Life Expectancy'}),0.4887459807073955,0.49517684887459806,0.3987138263665595,0.8157894736842105,1.647470950102529,0.15669813173974628,2.7404685346807534,0.7687157638466221
frozenset({'High Life Expectancy'}),frozenset({'High GDP'}),0.49517684887459806,0.4887459807073955,0.3987138263665595,0.8051948051948052,1.647470950102529,0.15669813173974628,2.6244372990353706,0.7785083213478527
frozenset({'High GDP'}),frozenset({'High Happiness Score'}),0.4887459807073955,0.4983922829581994,0.3954983922829582,0.8092105263157895,1.623641765704584,0.15191116717155528,2.6291163100121966,0.7512910978166385
frozenset({'High Happiness Score'}),frozenset({'High GDP'}),0.4983922829581994,0.4887459807073955,0.3954983922829582,0.7935483870967741,1.6236417657045839,0.15191116717155528,2.476386655948552,0.7657390035438816
frozenset({'High Life Expectancy'}),frozenset({'High Social Support'}),0.49517684887459806,0.4983922829581994,0.3762057877813505,0.7597402597402598,1.52438206954336,0.1294134676026923,2.087772660119928,0.6814197833306113
frozenset({'High Social Support'}),frozenset({'High Life Expectancy'}),0.4983922829581994,0.49517684887459806,0.3762057877813505,0.7548387096774194,1.5243820695433599,0.1294134676026923,2.059147063800982,0.685787858864782
frozenset({'High Happiness Score'}),frozenset({'High Social Support'}),0.4983922829581994,0.4983922829581994,0.4180064308681672,0.8387096774193548,1.6828303850156086,0.16961156315588133,3.1099678456591624,0.8089250493096647
frozenset({'High Social Support'}),frozenset({'High Happiness Score'}),0.4983922829581994,0.4983922829581994,0.4180064308681672,0.8387096774193548,1.6828303850156086,0.16961156315588133,3.1099678456591624,0.8089250493096647
frozenset({'High Happiness Score'}),frozenset({'High Life Expectancy'}),0.4983922829581994,0.49517684887459806,0.39228295819935693,0.7870967741935484,1.5895266024298282,0.14549063802069873,2.371139043164767,0.739386296763346
frozenset({'High Life Expectancy'}),frozenset({'High Happiness Score'}),0.49517684887459806,0.4983922829581994,0.39228295819935693,0.7922077922077922,1.5895266024298282,0.14549063802069873,2.413987138263666,0.7346768299049806
"frozenset({'High GDP', 'High Life Expectancy'})",frozenset({'High Social Support'}),0.3987138263665595,0.4983922829581994,0.3311897106109325,0.8306451612903226,1.6666493236212279,0.13247381644110381,2.961874138723014,0.6652302580343701
"frozenset({'High GDP', 'High Social Support'})",frozenset({'High Life Expectancy'}),0.3890675241157556,0.49517684887459806,0.3311897106109325,0.8512396694214877,1.7190619298057317,0.13853248001985094,3.3935334047874255,0.6846704138988248
"frozenset({'High Life Expectancy', 'High Social Support'})",frozenset({'High GDP'}),0.3762057877813505,0.4887459807073955,0.3311897106109325,0.8803418803418803,1.801225820962663,0.14732064391393804,4.272622875516766,0.7130917826043439
"frozenset({'High GDP', 'High Happiness Score'})",frozenset({'High Social Support'}),0.3954983922829582,0.4983922829581994,0.36012861736334406,0.910569105691057,1.8270128507736692,0.16301527072714303,5.6088862905583206,0.748812689969605
"frozenset({'High GDP', 'High Social Support'})",frozenset({'High Happiness Score'}),0.3890675241157556,0.4983922829581994,0.36012861736334406,0.9256198347107438,1.8572114102905892,0.16622036579439833,6.7438370846731,0.7554981203007519
"frozenset({'High Happiness Score', 'High Social Support'})",frozenset({'High GDP'}),0.4180064308681672,0.4887459807073955,0.36012861736334406,0.8615384615384616,1.762753036437247,0.15582965436668356,3.6923901393354783,0.7434885556432519
frozenset({'High GDP'}),"frozenset({'High Happiness Score', 'High Social Support'})",0.4887459807073955,0.4180064308681672,0.36012861736334406,0.736842105263158,1.7627530364372472,0.15582965436668356,2.2115755627009652,0.8463611859838276
frozenset({'High Happiness Score'}),"frozenset({'High GDP', 'High Social Support'})",0.4983922829581994,0.3890675241157556,0.36012861736334406,0.7225806451612903,1.857211410290589,0.16622036579439833,2.202198459582741,0.9201579670329672
frozenset({'High Social Support'}),"frozenset({'High GDP', 'High Happiness Score'})",0.4983922829581994,0.3954983922829582,0.36012861736334406,0.7225806451612903,1.827012850773669,0.16301527072714303,2.1790174231660804,0.9024152930402931
"frozenset({'High GDP', 'High Happiness Score'})",frozenset({'High Life Expectancy'}),0.3954983922829582,0.49517684887459806,0.3440514469453376,0.8699186991869919,1.7567838665399642,0.14820979931969275,3.8808279742765297,0.7126168224299068
"frozenset({'High GDP', 'High Life Expectancy'})",frozenset({'High Happiness Score'}),0.3987138263665595,0.4983922829581994,0.3440514469453376,0.8629032258064516,1.7313735691987513,0.14533555277550894,3.6587857007754874,0.7025338597631067
"frozenset({'High Happiness Score', 'High Life Expectancy'})",frozenset({'High GDP'}),0.39228295819935693,0.4887459807073955,0.3440514469453376,0.8770491803278688,1.7944887834339949,0.1523247278253947,4.158199356913182,0.7285269247886071
frozenset({'High GDP'}),"frozenset({'High Happiness Score', 'High Life Expectancy'})",0.4887459807073955,0.39228295819935693,0.3440514469453376,0.7039473684210527,1.7944887834339949,0.1523247278253947,2.052733118971061,0.86598483512608
"frozenset({'High Happiness Score', 'High Life Expectancy'})",frozenset({'High Social Support'}),0.39228295819935693,0.4983922829581994,0.3408360128617363,0.8688524590163933,1.7433104177683763,0.1453252137591629,3.8247588424437255,0.7016072676450034
"frozenset({'High Happiness Score', 'High Social Support'})",frozenset({'High Life Expectancy'}),0.4180064308681672,0.49517684887459806,0.3408360128617363,0.8153846153846154,1.6466533466533466,0.13384890561511978,2.734458735262594,0.6747628479099345
"frozenset({'High Life Expectancy', 'High Social Support'})",frozenset({'High Happiness Score'}),0.3762057877813505,0.4983922829581994,0.3408360128617363,0.9059829059829059,1.817810862972153,0.15333795142730117,5.335282081262783,0.7212118264929
"frozenset({'High GDP', 'High Happiness Score', 'High Life Expectancy'})",frozenset({'High Social Support'}),0.3440514469453376,0.4983922829581994,0.31189710610932475,0.9065420560747663,1.8189327705758214,0.14042452001116612,5.367202572347266,0.6863755811602992
"frozenset({'High GDP', 'High Happiness Score', 'High Social Support'})",frozenset({'High Life Expectancy'}),0.36012861736334406,0.49517684887459806,0.31189710610932475,0.8660714285714285,1.749014378478664,0.13356975217377817,3.769346195069666,0.6692742060819561
"frozenset({'High GDP', 'High Life Expectancy', 'High Social Support'})",frozenset({'High Happiness Score'}),0.3311897106109325,0.4983922829581994,0.31189710610932475,0.9417475728155339,1.889570936423426,0.14683471014567673,8.610932475884232,0.7039056304520221
"frozenset({'High Happiness Score', 'High Life Expectancy', 'High Social Support'})",frozenset({'High GDP'}),0.3408360128617363,0.4887459807073955,0.31189710610932475,0.9150943396226415,1.8723311817279047,0.14531487474281696,6.02143622722401,0.7068141815438772
