,count,mean,std,min,25%,50%,75%,max
age,297.0,54.54208754208754,9.049735681096763,29.0,48.0,56.0,61.0,77.0
trestbps,297.0,131.69360269360268,17.762806366599,94.0,120.0,130.0,140.0,200.0
chol,297.0,247.35016835016836,51.997582535138974,126.0,211.0,243.0,276.0,564.0
thalach,297.0,149.5993265993266,22.941562061360813,71.0,133.0,153.0,166.0,202.0
oldpeak,297.0,1.0555555555555556,1.1661227818468956,0.0,0.0,0.8,1.6,6.2
sex,297.0,0.6767676767676768,0.46849996744100153,0.0,0.0,1.0,1.0,1.0
cp,297.0,3.1582491582491583,0.9648594099420292,1.0,3.0,3.0,4.0,4.0
fbs,297.0,0.1447811447811448,0.3524739341254531,0.0,0.0,0.0,0.0,1.0
restecg,297.0,0.9966329966329966,0.9949138102637283,0.0,0.0,1.0,2.0,2.0
exang,297.0,0.3265993265993266,0.46976081219618643,0.0,0.0,0.0,1.0,1.0
slope,297.0,1.6026936026936027,0.618186769637528,1.0,1.0,2.0,2.0,3.0
ca,297.0,0.6767676767676768,0.9389645263024485,0.0,0.0,0.0,1.0,3.0
thal,297.0,4.730639730639731,1.9386286411484301,3.0,3.0,3.0,7.0,7.0
target,297.0,0.9461279461279462,1.23455053526173,0.0,0.0,0.0,2.0,4.0
