Feature,No Disease Mean,With Disease Mean,Disease Presence Rate
age,52.64375,55.611111111111114,
trestbps,129.175,133.27777777777777,
chol,243.49375,249.14814814814815,
thalach,158.58125,145.9814814814815,
oldpeak,0.59875,1.0222222222222224,
sex,,,"{0.0: 0.09375, 1.0: 0.22388059701492538}"
cp,,,"{1.0: 0.21739130434782608, 2.0: 0.12244897959183673, 3.0: 0.10843373493975904, 4.0: 0.23943661971830985}"
fbs,,,"{0.0: 0.20078740157480315, 1.0: 0.06976744186046512}"
restecg,,,"{0.0: 0.1564625850340136, 1.0: 0.0, 2.0: 0.21232876712328766}"
exang,,,"{0.0: 0.15, 1.0: 0.24742268041237114}"
slope,,,"{1.0: 0.15827338129496402, 2.0: 0.21897810218978103, 3.0: 0.09523809523809523}"
ca,,,"{0.0: 0.14942528735632185, 1.0: 0.2923076923076923, 2.0: 0.15789473684210525, 3.0: 0.15}"
thal,,,"{3.0: 0.13414634146341464, 6.0: 0.16666666666666666, 7.0: 0.25217391304347825}"
